
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    9600 Console                    1     59,304 K
chrome.exe                    2580 Console                    1     95,476 K
chrome.exe                   10100 Console                    1     75,044 K
CrossDeviceService.exe        2336 Console                    1     76,860 K
taskhostw.exe                10464 Console                    1      8,536 K
RuntimeBroker.exe            10564 Console                    1     14,016 K
chrome.exe                   10608 Console                    1     67,416 K
svchost.exe                  10652 Services                   0      8,104 K
WebViewHost.exe              10736 Console                    1    100,300 K
RuntimeBroker.exe            10792 Console                    1     13,984 K
msedgewebview2.exe           10832 Console                    1    118,476 K
msedgewebview2.exe           10896 Console                    1      9,052 K
msedgewebview2.exe           11056 Console                    1    114,376 K
msedgewebview2.exe           11072 Console                    1     34,880 K
msedgewebview2.exe           11100 Console                    1     19,436 K
AnyDesk.exe                   9476 Console                    1     44,360 K
UltraSearch.exe              11248 Console                    1    282,972 K
chrome.exe                    5084 Console                    1     84,508 K
chrome.exe                    1084 Console                    1     93,240 K
chrome.exe                   10336 Console                    1     54,632 K
svchost.exe                   9220 Console                    1     15,456 K
chrome.exe                    6800 Console                    1     54,052 K
msedgewebview2.exe            9504 Console                    1    118,056 K
msedgewebview2.exe             860 Console                    1      9,328 K
msedgewebview2.exe            2752 Console                    1    100,596 K
msedgewebview2.exe            3192 Console                    1     37,532 K
msedgewebview2.exe            2044 Console                    1     19,912 K
msedgewebview2.exe            4260 Console                    1     84,540 K
chrome.exe                    8348 Console                    1    150,468 K
chrome.exe                    9236 Console                    1     45,868 K
chrome.exe                    5700 Console                    1     29,232 K
cmd.exe                       4188 Console                    1      5,492 K
conhost.exe                   6376 Console                    1     19,952 K
SearchProtocolHost.exe       10720 Services                   0     16,700 K
msiexec.exe                   8948 Services                   0     11,584 K
WmiPrvSE.exe                  5608 Services                   0     13,308 K
msedgewebview2.exe            1012 Console                    1     60,092 K
tasklist.exe                  4500 Console                    1     11,076 K
